City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,selikhino,64,RU,1518325191,75,50.37,137.51,5.37,1.74
88,bredasdorp,12,ZA,1518321600,60,-34.53,20.04,68.0,10.29
89,tuktoyaktuk,5,CA,1518321600,74,69.44,-133.03,-9.41,9.17
90,pevek,80,RU,1518325192,93,69.7,170.27,3.03,4.99
91,codrington,56,AU,1518325193,82,-28.95,153.24,80.56,3.42
92,port elizabeth,90,US,1518324120,100,39.31,-74.98,53.6,4.7
93,manaure,0,CO,1518325193,93,11.78,-72.45,77.64,22.1
94,brandon,1,US,1518323700,76,43.59,-96.57,-0.41,3.36
95,cahul,80,MD,1518325194,88,45.91,28.19,25.93,10.8
96,torbay,90,CA,1518321600,93,47.66,-52.73,35.6,14.99
97,rawson,0,AR,1518325195,59,-43.3,-65.11,42.94,6.11
98,arraial do cabo,80,BR,1518325195,91,-22.97,-42.02,77.19,21.65
99,issoire,90,FR,1518323400,89,45.54,3.25,32.0,12.75
100,bethel,90,US,1518322860,80,60.79,-161.76,35.6,11.41
101,seddon,92,NZ,1518325197,95,-41.67,174.07,65.8,2.53
102,semey,0,KZ,1518325197,79,50.41,80.25,12.39,4.43
103,baruun-urt,0,MN,1518325197,49,46.68,113.28,3.66,15.17
104,la sarre,12,CA,1518325198,53,48.8,-79.2,-0.17,5.77
105,talnakh,68,RU,1518325198,76,69.49,88.39,-0.04,5.66
106,barrow,48,AR,1518325199,84,-38.31,-60.23,52.93,10.58
107,sitka,68,US,1518325199,61,37.17,-99.65,16.98,12.26
108,fortuna,0,ES,1518321600,78,38.18,-1.13,44.6,13.87
109,tiznit,0,MA,1518325200,98,29.7,-9.73,44.83,3.42
110,sao filipe,32,CV,1518325201,100,14.9,-24.5,67.13,18.05
111,poum,90,MK,1518323400,98,41.28,20.71,32.0,8.05
112,tierra colorada,40,MX,1518320880,88,17.17,-99.53,78.8,2.24
113,diego de almagro,0,CL,1518325209,80,-26.39,-70.05,57.84,1.97
114,kabalo,92,CD,1518325210,100,-6.05,26.92,70.26,10.47
115,nikolskoye,90,RU,1518323400,92,59.7,30.79,23.0,6.71
116,uchiza,8,PE,1518325212,85,-8.46,-76.46,69.49,2.08
117,saint anthony,1,US,1518321180,58,43.97,-111.68,28.4,6.93
118,esperance,20,TT,1518321600,78,10.24,-61.45,77.0,8.05
119,gdov,88,RU,1518325213,92,58.74,27.82,21.21,6.78
120,los llanos de aridane,20,ES,1518321600,77,28.66,-17.92,60.8,13.87
121,carbonia,0,IT,1518322800,93,39.17,8.53,37.4,5.82
122,balabac,0,PH,1518325215,100,7.99,117.06,80.07,5.55
123,assiniboia,80,CA,1518325216,79,49.63,-105.99,8.83,11.14
124,emerald,0,AU,1518325217,28,-23.53,148.16,101.49,6.22
125,ayna,0,ES,1518321600,78,38.55,-2.07,32.0,2.24
126,bystrzyca klodzka,36,PL,1518325218,84,50.3,16.64,13.13,2.95
127,adre,0,TD,1518325219,40,13.47,22.2,64.09,4.54
128,bodden town,36,KY,1518324921,98,19.28,-81.25,79.26,14.61
129,solnechnyy,56,RU,1518325220,67,50.72,136.64,1.9,4.43
130,vestmannaeyjar,88,IS,1518325220,99,63.44,-20.27,32.28,27.25
131,nemuro,75,JP,1518321600,69,43.32,145.57,33.8,4.7
132,monte carmelo,56,BR,1518325221,94,-18.73,-47.5,66.48,2.75
133,meadow lake,48,CA,1518325047,69,54.13,-108.44,6.04,8.68
134,luanda,75,AO,1518321600,83,-8.83,13.24,78.8,3.36
135,yeppoon,0,AU,1518321600,29,-23.13,150.74,100.4,4.7
136,troitskoye,24,RU,1518325223,80,52.98,84.68,10.23,3.09
137,yeniseysk,88,RU,1518325224,85,58.45,92.17,14.14,3.42
138,tautira,90,PF,1518323400,74,-17.73,-149.15,82.4,8.05
139,azare,0,NG,1518325225,59,11.67,10.19,62.88,2.98
140,west wendover,1,US,1518321360,34,40.74,-114.07,33.8,3.36
141,namatanai,36,PG,1518325225,100,-3.66,152.44,82.81,8.46
142,alice springs,0,AU,1518321600,9,-23.7,133.88,105.8,9.17
143,gigmoto,92,PH,1518325226,100,13.78,124.39,80.11,12.03
144,fare,92,PF,1518325227,96,-16.7,-151.02,83.44,18.3
145,kenai,90,US,1518321360,85,60.55,-151.26,23.0,11.41
146,bouar,0,CF,1518325228,70,5.94,15.59,67.38,4.09
147,guerrero negro,80,MX,1518325228,100,27.97,-114.04,55.86,3.53
148,hearst,0,CA,1518325228,59,49.69,-83.67,-6.74,5.77
149,monrovia,0,LR,1518325229,94,6.33,-10.8,75.34,5.1
150,vostok,36,RU,1518325229,43,46.45,135.83,-1.57,5.44
151,kavieng,56,PG,1518325230,100,-2.57,150.8,83.67,11.7
152,buenos aires,0,AR,1518321600,68,-34.61,-58.44,68.0,16.11
153,vaini,12,IN,1518325230,50,15.34,74.49,85.51,5.21
